Reviews,Labeler,Useful?,Comments,Original_type
"Your YouTube advertising says you integrate with dictation but you don't I want my money back please     
",Romario,1,,mis
"Disappointed in this app     
",Romario,0,,mis
"I honestly can't say enough positive things about this app. From helping me plan my work day to simply helping me stay safe during unforeseen weather conditions. This app takes sophisticated technologies and implements them into a beautiful app architecture.    
",Romario,0,,mis
"Pure  of course when your on the road    
",Romario,0,,mis
"This app has helped me a lot, its the best    
",Romario,0,,mis
"I employ this tracker mainly to help with stress management and check my vital constants progress after performing Mindfulness Meditation practices like Yoga Nidra, and has been very helpful and revealing.    
",Romario,0,,mis
"I listen to this every night to help me go to sleep    
",Romario,0,,mis
"Most of the people who use this app are servers, if I'm making 200250 a night shift, 3 is nothing. The app needs some improvement, but I'm only using it to get messages from managers and to know when I need to be in work. Which it does correctly for my iPhone 6s on 9.3.3    
",Romario,0,,mis
"I've used it for quite a while and it has been fantastic. Touch ID is an added plus    
",Romario,0,,mis
"I enjoy the app It's precise and on the money all the time    
",Romario,0,,mis
"I love this app It has helped motivate me to get my daily exercise in An who can't find 7min in their day to get in shape. I feel so much better An can see a difference.    
",Romario,0,,mis
"Being a student, textbooks are not really essential anymore. With WolframAlpha, I can learn even more from the textbook. With its competitor, Khan Academy , it think WolframAlpha did a best job    
",Romario,0,,mis
"Why is there not one app available that actually scans and removes malware, trojans, and viruses  This is another dud that does nothing.     
",Romario,0,,mis
"I just got the app and have used it a couple of days. It seems like it is going to be good. Let you know.    
",Romario,0,,mis
"I am pleased using this app as map guide.    
",Romario,0,,mis
"Good for people to comprehend basic information. Most stars on this app, probably I cannot get their in my entire life. But I can also get excited during this app experience. Thanks    
",Romario,0,,mis
"This is an amazing app it let's me listen to all of my music    
",Romario,0,,mis
"Hope this app keeps being developed because it's great and could be so much better. A wonderful achievement so far    
",Romario,0,,mis
"I have several photo apps on my phone and this is the most frequently used one    
",Romario,0,,mis
"Had this game on my phone for 3 days, deleted, not impressed     
",Romario,0,,mis
"Just good old reliable weather app, can't go wrong with it    
",Romario,0,,mis
"Needs more features but the basics work great. Dropbox import works. random play needs some work.    
",Romario,0,,mis
"Hands down, the best maps app out there. I don't need to compare this is all I want in a maps program, easy to use constantly updated and always on the cutting edge of new products.    
",Romario,0,,mis
"Nice interface. Much better than several others I've tried. Love having it with me when traveling or in a hurry.     
",Romario,0,,mis
"Will keep using probably a bug    
",Romario,0,,mis
"Every house I see and call about is either sold or in contract. Some of them were sold months ago. It's useless. They send you the same houses over and over and over as new listings. The emails are endless even after you request them to stop and half of them are for areas I have no interest in. I see some that say potential listing What the hell is that It's either for sale or it's not. Glad it was free and even at that price it's not worth it. Someone should also update the overhead view options. I look at houses on my block and some of the pictures are over 5 years old. And taxes Why are they not even close with taxes I have seen houses that say taxes are 8000 but when I speak with the realtor they are actually 15000, that is a pretty big ball park.. Worthless app unless they fix the problems.    
",Romario,1,,mis
"Its very easy to use and keep my phone safety    
",Romario,0,,mis
"Download to phone on Wifi    
",Romario,0,,mis
"The PDF Reader is an excellent tool for reading, reviewing, annotating on the run.    
",Romario,0,,mis
"It's a brilliant app, much better than any other i've tryied. But have an ipad version    
",Romario,1,,mis
"Downloaded the app when I got my new iPhone. No issues thus far. I really like how you can keep track of the weather globally. Love the graphics  minute by minute forcasts too    
",Romario,0,,mis
"Only thing that can change my rating is the 50 limit but also, when is breeding going to be available Did I miss the update     
",Romario,1,,mis
"This is a very nice application. It is very smooth and looks fantastic. However i just wished the antitheft tracking feature worked in the background if the app is closed.  55 stars if they can make that work. Otherwise 45 due to having to keep the app open all the time.    
",Romario,1,,mis
"I am impressed with this program. It works very well for a back up to my full system and for the price I think it is well worth it. The one issue I have with it is the overlays do not seem to fit where they belong. If I had a small boat and a smart phone this would certainly be one  great app to have    
",Romario,1,,mis
"This app is amazing I had a virus and it removed it plus security I highly recommend    
",Romario,0,,mis
"I've been an Avira user since 2009. This is definitely by far the best antivirus software out there The free version is great especially the free app version Don't hesitate and try Avira if you're looking for an antivirus for your device.    
",Romario,0,,mis
"If you ever use a scientific calculator, this app takes things to a whole new level.     
",Romario,0,,mis
"Shows you step by step what to do. Each way demonstrated visually the steps even video of how to do each work out helps.    
",Romario,0,,mis
"This app was real fun to play around with while I was pregnant.    
",Romario,0,,mis
"This app is amazing for any lake, bay, or ocean. I uploaded the local lake maps of the area and already have the fishing spots ready to go with lures to match the depth of the water. This app is revolutionary and for 9.99 this will be the best tool in your tackle box.    
",Romario,0,,mis
"Please don't let is type of problem happen ever again  This is so embarrassing.     
",Romario,0,,mis
"Much better than other apps....easier to use features    
",Romario,0,,mis
"Real time weather radar that is great and more comprehensive than other radar apps.  Nice alert choices that can be turned offon to your liking.    
",Romario,0,,mis
"Easy to use. I strongly suggest to al my friends and people I meet in my line of work to download and even pay for the Premium version. Necessity for all adults nowadays    
",Romario,0,,mis
"Living in a rural area with out local weather alert system this has been a life saver  Thank you    
",Romario,0,,mis
"Swype is a great app and I give it 5 stars. If you disagree, try some of the other swiping apps. That said, why is it you cannot fix the issues that have plagued the app since day one Autocorrect cannot be turned off. The toggle onoff button is useless. This is how it has always been. Of course, nobody wants it permanently off, but I'd rather that than deal with Autocorrect's habit of changing common words to the most obscure word possible. When I type awesome, why are you changing it to sardine How often do you think the word sardine is used by your average English speaker You can't fix this And finally the personal dictionary. Why have an option of manually adding words to my personal dictionary when you will add them on your own You add email addresses and other useless words to the dictionary with no input from me. These issues have been prevalent for years.    
",Romario,1,,mis
"Excellent app the best    
",Romario,0,,mis
"Very convenient, great layout, and easy to use Recommended for anyone who wants to download songs from one device to your phone.    
",Romario,0,,mis
"I finished my first whole day with a Fitbit and I have been very impressed. I hope it continues to be useful as I learn all very can do. I hope it can set up the little water. I will let you know.    
",Romario,0,,mis
"This app inspires my children and I every time we use it, especially when we look in any direction and discover something new.    
",Romario,0,,mis
"Add a fill the section with color option what I mean is that you draw something like a circle then you fill it in with color by tapping it      
",Romario,1,,mis
"Enjoy seeing all the satellites that are in orbit.  Great for identifying the planets in the morning and evening sky,    
",Romario,0,,mis
"I called them on Monday, December the 12th 2016 and They asked me the typical questions. They decided to replace the tracker and today December the 15th I received the delivery with the replacement at 1143 this morning. I paired it and tested it for a pair of hour and works flawlessly.    
",Romario,0,,mis
"I've had this app for about 24 hours now as of the posting of this review and I have to say, this app means serious business. The tutorials that are provided within Enlight have helped tremendously and I'm slowly but surely getting the hang of most techniques. It's truly amazing to see how much editing you can do on your phone and how professional it comes out.     
",Romario,0,,mis
"Caveat emptor as app uses true not magnetic for course and direction. If you are in an area of high magnetic variation and do not account for it manually then you will miss your mark. Remember 1 degree of course error in 60 miles is 1 mile.     
",Romario,1,,mis
"my respect to avira is going to less and less ,     
",Romario,0,,mis
"It's nice when something works as advertised. I didn't need or want anything fancy, just wanted something that works...and this does    
",Romario,0,,mis
"It's so much better on my phone than my iPad and it feels like it's an update but it's not and there's no update so I don't get it     
",Romario,0,,mis
"I love this app and it is THE BEST when it comes to cloud related music apps It's the least sketchy and works SUPER WELL. If you want free music but your a cheapskate like me  this is the app     
",Romario,0,,mis
"Having not played in a while, I was disappointed to find that five daily games have been pared down to three. Sad.     
",Romario,0,,mis
"Why do we have to pay that's stupid      
",Romario,0,,mis
"You can't make an account on weekends    
",Romario,1,,mis
"Amazing tool to achieve your goals. It's timely manageable I would recommend this to anyone    
",Romario,0,,mis
"Great workout, anywhere, on any schedule. Love it    
",Romario,0,,mis
"I've just learned about and downloaded the app at 39 weeks pregnant. It works great and heartbeat is easy to find since baby is so developed. It's a great little tool to use anytime you want to feel a little extra connection to baby and you don't have to wait for your next doctor's appointment.    
",Romario,0,,mis
"love drawing on this app    
",Romario,0,,mis
"Love this app. For those of us who have trouble seeing the constellations, this app brings them to light.  Gives you all the data on stars and satellites as well. Highly recommended    
",Romario,0,,mis
"I didn't bother loading any of the other apps on my new phone.     
",Romario,0,,mis
"I enjoy all the games and I am stunned at my results when I have not slept much vs slept well. I like the fact that many things are taken into consideration and show me the value of rest, regular meals and keep trying. Thank you Lumosity for fabulous games and caring.    
",Romario,0,,mis
"I'm amending my favorable review because the functionality has taken a turn for the worse. Specifically, Zestimates swing wildly.  I have received them monthly, and the latest is drastically different than the rest.  The main concern is that the past Zestimates are in line with our neighborhood sales but the latest isn't even close.  Compounding the issue is that past Zestimates are ignored in the historical chart. Another problem is setting Make me Move or For Sale by Owner  they don't work.    
",Romario,1,,mis
"Use this app to easily scan and email documents for my business as a PDF to email to venders.    
",Romario,0,,mis
"Being able to set multiple locations for alerts, including my current location, means I no longer need multiple apps to get alerts while on the go. Great addition from what is still my favorite weather app.    
",Romario,0,,mis
"Very functional and user friendly    
",Romario,0,,mis
"Awesome APP for up to date weather. Keep up the great work Always up to date.    
",Romario,0,,mis
"Great, but would be even better with an equalizer     
",Romario,1,,mis
"I like the app. Use it on iPad and iPhone for bass fishing while in the boat. But please, please, please add more icons for waypoints.    
",Romario,1,,mis
"Gets me up and moving. It usually takes an earthquake to do that.    
",Romario,0,,mis
"Thanks, now I can listen to music and download my own stuff from Dropbox with out a dumb music subscription. Genius. 1010    
",Romario,0,,mis
"I love Pandora I listen most days and find it brings joy to my life What a wonderful idea this was Thank you    
",Romario,0,,mis
"Perfectly accurate, love the option to put your own input in, slightly difficult controls but you get the hang of it    
",Romario,0,,mis
"I love this app  Always entertaining, informative, and accurate.  Helps me get great star photos with my Cannon.    
",Romario,0,,mis
"This app is great It helps me work, test my brain, study, and so much more When I do those things I am having fun using this app. This is really a great way to have fun and learn at the same time    
",Romario,0,,mis
"You can get in depth as you want as a beginnerstill learning photographer. I wish the developers would create a video create a video app the can do the same.    
",Romario,1,,mis
"Great so far  Needed something to get me moving. Great device for tracking all the things to get you healthy.    
",Romario,0,,mis
"I bought this app last spring and used it for fishing on 5 or 6 lakes in N Texas.  This is a great app for the price. I used it more prior to fishing to mark spots etc.. Once on the lake, It took me right to the spot I picked out and I could also mark a spot for future reference. The only real problem I had was if you mark say a good Crappie hole on the map, everybody who has this app now knows exactly where ur spot is.  For the price, not a bad app. Use it w a depth  fish finder and it will guide u to ur location.    
",Romario,1,,mis
"I got this app about 5 yrs ago and it's one of the best apps even still today. Make sure you turn on the notifications. When something like 2 planets being close together like tonight it's Jupiter and Venus and Mercury not far away, your notified of the occurrence. You can zoom in and do screen shots. I love this app and found it when I did a search of Editors Choice way back when and its still amazing Just get it I know this one was free when I got it but don't know if it still is, but if you can't decide which of the Star Walks to get, I prefer this one the best. Can't improve on PERFECT    
",Romario,0,,mis
"Best app ever Was able to use it overseas while on vacation to France and Italy So awesome    
",Romario,0,,mis
"I use maps where ever I go and around in town and out of town    
",Romario,0,,mis
"I was using Dropbox which I like, except I can't listen to more than one song at a time.  It's fine when I have a 30 min meditation to play, but not when I want to hear 4 meditative pieces in a row.  Jukebox is so easy to transfer files and create a playlist.  Why can't they all be this easy  Thank you  Love the ap    
",Romario,0,,mis
"This app allows me to get in exercise throughout the day 7 minutes at the time    
",Romario,0,,mis
"Use it for all my patterns. Love it, can't live without it.    
",Romario,0,,mis
"I especially like the transit addition on here. It creates a bus route in seconds and shows every detail of my trip I need Love it. Ty Google team     
",Romario,0,,mis
"Accurate no bugs luv it    
",Romario,0,,mis
"I would like to thank those involved in its operation.     
",Romario,0,,mis
"Seems easy at first, but the more circuits you do in a sitting the harder your core works.        
",Romario,0,,mis
"I am learning more each time I utilize this, and apparently, I have lots of discovering yet to do    
",Romario,0,,mis
"If you need an app that will store your private pictures and is password protected this app does just that. You can even delete pictures from your camera reel after importing them into Keepsafe. So I thought that was a pretty neat feature too.    
",Romario,0,,mis
"This app is great other than the fact that it doesn't allow you to create bookmarks, which you can do on the desktop version.    
",Romario,1,,mis
"contact the ministry of transportation and urge them to update and send. I too have already done so.     
",Romario,0,,mis
"Don't use any other map app other than google maps    
",Romario,0,,mis
"My crazy understanding was that as a business, you wanted to keep loyal paying customers. Pandora must be playing by a different rulebook. Too bad.     
",Romario,0,,mis
"I used Pandora for a long while. I 'built' several stations to my specific liking, but dealt with a commercials for Pandora One or any other nameless product between every other song.      
",Romario,0,,mis
"Great app, works well with my charge 2    
",Romario,0,,mis
"Don't waste your money     
",Romario,0,,mis
"Love your app, it comes in handy every time I'm fishing in unfamiliar waters, thanks    
",Romario,0,,mis
"A great map system for navigating all around    
",Romario,0,,mis
"I love this App I can take it with me wherever I go. No need for a gym. And, it will kick your butt Love it    
",Romario,0,,mis
"I was sit on my porch and the alerts that I got was awesome there was roan in ten mins for my house    
",Romario,0,,mis
"I've never reviewed an app before but this one is too awesome to pass up This is the only app on the market I have actually been able to hear my baby's heartbeat on, best 5 bucks I've ever spent'    
",Romario,0,,mis
"This is a great app for anyone wanting a look at the night sky The only thing I would change would be that one should be able to point ones phoneiPad at the sky and the app would tell you what you are looking at. Otherwise, great app    
",Romario,1,,mis
"I have been using this app on and off for 7 years.  I'm a Lifer.    
",Romario,0,,mis
"Great guide for purchasing a home    
",Romario,0,,mis
"Thank you for developing the perfect app. Thanks again    
",Romario,0,,mis
"I've had this for years, and love it. I use it to time when I leave to photograph the sunrise or sunset. I've taken it camping and the kids always love it thanks very much.    
",Romario,0,,mis
"So easy to listen to my music from Dropbox  first app to do exactly what I wanted    
",Romario,0,,mis
"Easier games than what my son has me play with.     
",Romario,0,,mis
"Fun app, worth the spend. Works on my iPad  cant get it on my iPhone. Am I being thick    
",Romario,1,,mis
"So far, files have been easy to transfer and the graphics are quite clear.  I've only had it downloadedit's for mobile device as well as for PCs and Apple stuff, but I've been impressed.  I'll probably update this periodically with more informed comments on performance.    
",Romario,0,,mis
"I don't usually ever play video games but this one is AMAZING It's so fun to play and I'm addicted to it, but I wish I could visit my friend's kingdoms    
",Romario,1,,mis
"I am a fisherman for inland lakes.   This is a gem of an app.  It has a high level of functionality and is as handy as your iPhone.  I find it very useful.  I use it a lot when fishing with friends in their boats.  I can mark a spot and transfer it later to my boat's GPS.  I have also used it, with the guide's permission, to record waypoints when on a guided trip.   It also works excellent when navigating to waypoints.  It gives you a current heading while under way and I have found it to be very accurate, both in recording waypoints and also finding spots.   I also feel secure having a backup to my main navigation GPS when on my boat that is potent enough to get'r done if I were to need it for something critical like finding your way out of some of the jungles in Texas lakes.   This is a HIGH value app at 10.    
",Romario,0,,mis
"Unfortunately, it is not currently possible to upgrade subscriptions purchased via iTunes, so there is not a way to purchase the Family Plan on your existing subscription.     
",Romario,1,,mis
"Very happy with this app    
",Romario,0,,mis
"The buddy's should run beside you     
",Romario,0,,mis
"Since then I have learned and teach some of translations and the customers differentiate.     
",Romario,0,,mis
"I always check this app before I leave the house. I have to make sure my kids are dressed appropriate for the weather.     
",Romario,0,,mis
"I tried it twice and I believe it works    
",Romario,0,,mis
"Found the app very nice and intuitive. Great job Fitbit     
",Romario,0,,mis
"My house was under contract within 3 weeks of being listed  the Open House. The 2 weeks before that, through her networks, there was a revolving door of buyer's agents taking a peek, at my home for their clients before it hit the market     
",Romario,0,,mis
"Allows me to easily move songs from Dropbox to play them.     
",Romario,0,,mis
"Outstanding performance  Try the newest features.    
",Romario,0,,mis
"Very educational , love the gallery of photo's too.    
",Romario,0,,mis
"I work right next door to a gym but for some reason when I want to battle the gym the gps on the game makes my guy walk like 3 miles away from my current location. So I can never fight at a gym or when I am fighting it the guy walks away from the gym.    
",Romario,1,,mis
"I enjoy looking at your site and have used it previously when trying to Sell by Owner.    
",Romario,0,,mis
"Better than I expected for someone who loves jay-z Kanye Andy that rap genre.    
",Romario,0,,mis
"I use it very often. It is great Thanks    
",Romario,0,,mis
"This app inspires artistry beyond just photo taking    
",Romario,0,,mis
"It is really useful and it is my first time using it and it works great    
",Romario,0,,mis
"It's still a good app though. It conveys Accuweather's information in an easy to read format. And like it it not, AccuWeather is still the only alternative to the National Weather Service e.g., the Weather Channel although I'm not sure which is more accurate in my area.    
",Romario,0,,mis
"Good features and graphics    
",Romario,0,,mis
"I wrote to the customers service     
",Romario,0,,mis
"Easy to use  in fact I want to be a meteorologist when I grow up keep up the great work guys your the best    
",Romario,0,,mis
"Love this app  Great work, pat yourselves on the back. Thank you    
",Romario,0,,mis
"A marvelous language survival kit. Excellent convenience with ability to download language for offline translation. Accepts typed and spoken input. Doesn't go crazy with ads and quirks like other translation apps. Love this app    
",Romario,0,,mis
