reviews,Judgement
"Pdurham Latest update made mentions unusable. No text, only links and hashtags. Now the ""retweet of me"" button doesn't show who retweeted you. Sliding downhill.",useful
"This app is wonderful! Quite a lifesaver. Trustworthy, easy to use, and seems to work wonderfully!! Saved us a ton of money also.",useless
Garbage Signed in and it promptly crashes and signs me right out. Not even worth the download time. You would think with all of Microsoft ' s money they could find app developers to actually make an app that is stable and works.,useful
I am having problem with viber connection line stableing it. when i switch on viber it take so much time to connecting it say viber is connecting then it take 10 sec to establish the line where as other hand iphone 4s don't have this problem.Please fix this issue comeing next new viber update,useful
"The best note app, organizing your note with notebook, sections, pages , and subpages; A lot of text editing function, including adding link to your own paragraphs. But this app for phone is not as good as  that for Mac, less multimedia function than Evernote for phone.",useful
"If you upgrade your power-ups to level 8, you will not be able to add them to your current loadout. Quite a large bug to miss.",useful
"I wish I could disable the splash screen, but aside from that it does pretty much everything I want except inline translations.",useful
Way better This way better now 5 stars,useless
Thank you viber. We are so grateful,useless
It's ok..,useless
Awesome app!!!!!saves money!!!,useless
"Not perfect, but works!",useless
This is the best app..,useless
Excellent Brilliant program.,useless
The game crashes every time you are gonna get in a race. How can you put in the store a program that doesn't work? And how does apple allows it?,useful
Good game Bad thing is that upgrades take along time to take place.,useful
Very good app of the best in communication :),useless
Quick in access from mobile as well as Mac simultaneously. Very useful especially.,useful
Thi is a great apps you guys keep up the good work !!!,useless
Preloaded to follow lefties.,useless
"Crashed, froze, no good,",useless
I love this app it's very easy to navigate through.,useful
"I've had this app for months, and thought the timeline presentation and overall usage was fantastic.  This all changed today, when a banner advertisement completely caused the entire thing to crash by repeatedly opening the moment I activated the app.  I'm done with this crap.",useful
Best game 4lyfe,useless
"Awesome app that I use to take note for school. However, the app for Mac cannot have as many functions as for PC. I wish I could draw in One Note in Mac like in PC. The app sync note to iPhone take somewhat a much longer time than in Mac and PC. But it is such a great app already",useful
With iPhone 5 works just perfectly,useless
how was i living without this?,useless
Everybody got this app Super cool,useless
i need i go it and i love it,useless
"Ok I load it and they make me Follow them. Then it is impossible to figure out how to unfollow them.Then I try to send a link of an article. My link is in there but the subject line is:Check out this link from TweetCaster!And inside the email only my link, no title and more promoting them. I'm not going to send that email. I already paid you guys 4.99 for your App. So can't you give me a service instead of forcing me to send out advertising for you??So I got this hoping to find and App that would show me a threaded conversation. Maybe one tweet. Not clear.",useful
Good service although sometimes the call service is cut,useful
Thank you,useless
Awesome I love this game it's really cool u should get it,useless
Great app,useless
Very adicking I played this game for hours my best is 4367,useless
Best not app ever This the Microsoft best app for Android . OneNote relly need for work and life every time,useless
Can't live without it now.,useless
Great app,useless
Its great!!!!,useless
"No doubt one of my fav games for free. It's basically Mario kart for free! The game works fine for me, does not crash at all. Get it while it's free!!",useful
Please remove this app from app store if it does not support iPhone 5 screen,useful
"Thanks a lot for this App, it's useful to my whole family.",useless
"Ugh, what happened? I've used it for years and it's generally worked well but the latest update has started using Twitlonger even for short tweets. Switched to another client until this is fixed.",useful
Not working.. I open it up and it closes on me. Fix this please!,useless
"Crashes at least 5 times a day. Also, lags.",useful
This is the one and only and best app ever! Can't live without it!,useless
Great..just 2 issues When i push the button to make a tweet it takes forever to come up them im asked to force close or wait.,useful
Need to fix images The images even the avatars are not loading on my phone its a LGl38c with net 10 service and I have a unlimited data plan on it and its still not loading the pictures could you please fix this issue I'm extremely dissatisfied because its doing this!,useful
Better than Twitter app Decent but gaudy,useless
Love it 😄😄😄😄 @XYZ,useless
It's nice,useless
Still background image issue on my iPhone 6!😡😡😡😡,useful
It's really fun and addicting,useless
I use viber every day. It's great!,useless
Cool spin on a classic game,useless
Love it!,useless
Good app But I need voice call via wifi,useless
"Interactions section doesn't load automatically, and the option to tweet music fails to work properly as well. Crashes occasionally, but that's to be expected with any app. Notifications are at the top of my wishlist, though. Otherwise, great app that works 95% of the time",useful
I have been using onenote since 2006 and it's great to see it expand to be useful in many circumstances,useful
This game is neat,useless
Reccomended for international calls!,useful
"After using this app for about a year (it was the best of the worst!) I have to say it still is pretty awful. It used to crash upon opening. Now it crashes when I try to send a tweet. I've updated, redownloaded, restarted....tried everything and it's still not working. I've been through 3 different phones so it's not the hardware. Deleting it and NOT redownloading again!",useful
I really am very happy with it,useless
Very useful.,useless
"Viber works perfectly. Easy to set up, easy to use, and it performs splendidly. Just set up a couple of days ago and we are talking and texting from continent to continent. Thanks Viber. Jimnet",useful
This is allowing our family contact with out daughter who is studying abroad! Works beautifully! Super clear! So happy!!!,useful
I think it's an excellent program. I recommend it,useless
I'm using evernote and want to try the other Crashed went start. Asus Zen 5 :(,useful
The is one of the most useful applications ever built.  Everytime I show someone the app and they start to use it I learn more about it from them.  About 50% of the people I show now use this app daily!  App is constantly getting improvements as well!,useful
Love this App and the friendly design. One of the best Twitter Apps on the market.,useless
"Nice Finally a company decided to make another version of pacman. Unfortunately, it lags at times but it's vary good. My question is: Is there a global leaderbored? If there isn't then my advise is to add it. This is probably better than all of the pacman games out there.",useful
To day very good,useless
Finally I found a gr8 solution to call my friend in gulf countries for FREE..u must need wifi or 3G connection for best quality.,useful
No twitter app better,useless
Impressive implementation of Office's best tool.,useless
"I use this for notes, field service notes, follow ups, conference calls, and anything else I can.  Best app for on the go.",useful
Awesome,useless
Perfect Works perfect for me.,useless
"Utter rubbish, do not update If I could give this minus stars I would. The only reason I updated was the version I had installed had rabies (or something). This new version is worse. Will do nothing. Can't post, refresh anything without error msgs. Worst update yet. Oh and also v annoyed at google demanding I have a g+ account so I can post this review. You both totally suck, is the most polite thing I can say on these matters. Xperia pro",useful
Best Twitter Application I've Used,useless
I love this application. Works great.,useless
"When this app first came out, it was very meh, but they keep adding more features and now this app is my go to for note taking and studying",useful
Use lots of wireless data in background It took about 400MB cell phone data in 2 days before I found out.,useful
"It's ok. If you're going to charge for an app, working notifications would be nice.",useless
Love this app. The sound quality of the calls are better than my actual phone calls. I am really pleased with this app.,useful
Is this actually a fun game? I wouldn't know cuz the dumb thing keeps on crashing before I play! You guys need to update this!!!! It doesn't even deserve this one star.,useful
This has to be my favorite game yet! So not a waste of money! It's great! So much fun!,useless
Best twitter app on planet!!!!,useless
It works for me I use it to scan and send documents that I have to sign.,useful
Cool game like it. Thanks,useless
Love this app and would even buy the pro version if it supported push notifications without the use of Boxcar which hardly even works!,useful
You have no idea how i love this app...thank you.,useless
Good game,useless
Very good,useless
"Good, dodgy credits Sometimes  it says i am out of  credits when i have 30...",useful
"Pac-Man 256 is now one of my favorite games ever. It brings a fresh twist to the classic, such an example being power-ups. What many people forget to mention is the fact that you can play without credits, but you can't use power-ups. Bringing Sue, funky, and Funky back from the - erm, dead - was a great idea. While not all the physics are 1 to 1 true to the original Pac-Man, it is one of the things that makes Pac-Man 256 special. It's great, fun, free, and always a good source to waste time. After 35 years, Pac-Man is STILL surprising me. The creators of Crossy Road did a great job showing a new way to play an old game. If there is just one thing to improve, it would be to add characters to buy with coins, an example being Ms. Pac-Man. Overall, it's a great game for a great gaming icon. Happy biirthday, Pac-Man!",useful
"awesome would like to be notified when someone retweets, follows  or favorites me in the mentions & interaction section then this app would be better then every other twitter app.",useful
Disappointed App force closes when I try to log in. Wish I could use it.,useful
One star for the rate us banner that appears across the middle of the screen during the middle of gameplay. Dick move.,useful
"As a small business owner, this app is not only convenient, but works exactly how it says it will. I'm very happy to have this as one of my top apps for productivity!",useful
Great!!,useless
fun,useless
Why are u guys slow with updating the mac versionI still don't have new stickers there!😒,useful
"Phenomenal!One of my most used apps. I have many friends and family overseas and Viber gives us the opportunity to stay in touch easily. I have found that most of the time our phone conversations are so much more clear than using a regular phone line. On the odd occasion, the line breaks up a little, but usually a redial can fix that.Love this App!!",useful
Excellent It's so convenient & connection during calls is excellent.,useful
Follow mee ^___^ ' ; @XYZ,useless
Wonderful!,useless
"There's a slew of note applications; however, this is one that's well implemented and it's actually supported by a large corporation, so it's not going to reach an end of life in 12-24 months. The interface is simple and clean but when you realize the depth of tracking you have with note tabs, individual listings under each tab, and synchronization across every mobile and either PC or Mac, you can't beat it! Elegant, fluid, fast, stable, organized, simple.",useful
This App is one id the best out there,useless
Interesting... Good Job,useless
"A great apps to keep connect people from all over the world, not just messaging but voice too.",useless
Sweet and sophisticated,useless
Great portable version Two thumbs up.,useless
"It says there's an error that I am at my limit of 350 requests per hour.  Seriously?  I haven't used it in a few days yet am at a limit and when I DO use it, I post one or two tweets. Apparently this is an issue with this app.",useful
bad Still not working. keep crashing after login details are entered.,useful
"I've had this game since it came out, and I continue to love it, although the new update is experiencing some issues now. Please fix as soon as possible!",useful
Well done NAMCO!,useless
"Great VoIP app. Works as advertised. Only complaint would be the app runs a bit sluggish, for example during launch or switching between tabs and conversations. Otherwise great audio quality, even on mobile data. Basically phone like once on wifi. Must get app.",useful
Outstandingly better than original twitter app,useless
I like it very much+++++++++++++++++,useless
"I've been waiting for this app for a long time. I love the pc version of Onenote, but needed something more suited to a mobile device. Unfortunately, I haven't been won back from Evernote. I haven't had the problems everyone is talking about, but sadly, some needed features are missing. While I really like being able to make check and bullet lists, not to mention putting in pictures, it's too little too late. If not being able to search within your notes (including text in images like you can on the pc version) is disappointing, than the complete lack of any search feature is a disaster. I'll keep the app for now and hope for updates, but hey, I'm writing this review in Evernote because I know I'll be able to find it later that way. I'll give three stars for rich text editing, but you have to do better than that. Now if due dates could be attached to check boxes, that would be awesome...",useful
"Worth the price! I like the simplicity of the integration and the push mode features, status in push mode for days.   Only 4 stars because there are few issues to be ironed out.",useful
Same glitches over iPhone and Android One thing that I hate are apps that aim to be professional but miss some important issues big time. This app has a constant problem connecting to my skype account. IM+ keeps trying and trying without any luck. Annoying and frustrating. Same thing I experienced with my former iPhone 3GS and now it's happening again on my Galaxy Nexus running ICS 4.0.2. I reverted to using the free imo.im without any issues.,useful
Love it.,useless
"I run GTD on my iPhone using the one note app, and it is essential to the way I run my business.  In my opinion, there is absolutely no replacement. It seamlessly links to all of the notes I have on my laptop, it smoothly represents any handwritten notes I have, and it allows me to update or add any additional information to any notes I already have on my phone. This allows me to input current to-do'sthat come to mind in the field, it also allows me to reference any to-do's I have already included in my Onenote set up at home. It is basically the Holy Grail of seamlessly using GTD in a mobile setting.   The app is quick, easy to use, and I have never had a problem with it backing up or losing any information over the last year and a half that I've been using it. A clear and easy five star rating.",useful
"to make international calls, or text, nothing beats this app from what I have seen!  I even like it for calls within the U.S. because the voice quality is so good.  Sometimes, the connection is poor, and occasionally calls are dropped, however, when weighed against the big phone providers, it is no different then those services.  a real money saver ...for sure",useful
Easy to use. Effective. I would recommend it.,useless
Very nice,useless
"I can finally zoom into my notes with the new major update today. Microsoft, Kudos, for once you have not charged for the next version.",useful
5 estrellas o can talk we my love one and send text,useless
Love this app and it's gotten even better without stickers and I get to talk to my friends overseas I think it's a wonderful app,useless
