reviews,Judgement
"Works well. Good UI. There are undoubtedly ways to improve this app, but I haven't thought of any yet. Been using it for about 3 months..",0
i won one game ohh wait i dident this is bull cant even start to race i wish i could but no just crashes every single time nice job sega 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,0
I like the front page and seeing what is trending.,0
"I make a lot of calls from Germany to USA. If you're on wifi and the other person is on at least 3G, call quality is clear. Still have to try 3G to 3G. Over LTE calls sound so much better than normal phone calls.",1
Very good quality! This application like dream!,0
Love love love it,0
"Thanks Bandai for teaming up with Hipster Whale and putting their spin on this classic. I understand people's want for more content, but I realize this is licensed and any changes to the original are at the discretion of Bandai. That aside, I've always loved Pac-Man, and having it be endless is fantastic! Sure, running out of tokens or lives can be frustrating, but you can play for free without power ups, so win-win because Pac-Man. It'd be nice to have music throughout instead of just before you start. I found out about this game through the 8-4 Play podcast, and during their breaks, they play music. While I was playing, their break came up and they started playing Pac-Man Fever... It was a brief moment ecstasy before I realized it wasn't coming from the game. TL;DR, this is endless Pac-Man, and it scratches that inflamed itch just like Crossy Road (endless frogger) does.",0
I am able to complete my expense statements easily without the worry of finding a scanner on the road!,0
This game is a very good game to play it's fun and endless!!!!,0
Very good,0
I love this app. Have not had any problems so far. Unlike other twitter apps you for not have to pay for the mute feature. Features in this app are so much better than the Twitter app. The only difference in this and the full version is the full has no ads. That is the Only difference.,1
"WOW, real cool.  Can talk international at no cost...",0
"Stops working Disconnection issue, although internet is working fine, worst issue ever from any app ive gone through...",1
Wonderful reception . It's fantastic way of communicating worldwide. Imagine FREE OF CHARGE.,1
It's a great app but still room for improvement.,0
Very versatile!,0
"I'm worried they'll change it like they did on their app Planner Plus. They took my money, and never respond to emails.",1
"Best twitter app so far , but after the last update the ""hide retweet"" option is not working, and the gif still can't be viewed .",1
Love love love this app. Calls are clear and don't drop anymore. Thanks for fixing.,1
Sucks with adds :( The official Twitter App is Better,0
Ads?! What's with the 'Top Apps' ads? I thought thus version was ad-free. :-(,1
"5/3/13 - STILL not getting notifications I'm not getting notifications, and don't notice any new messages until i open the chat (it doesn't even show as new). notification settings are turned on for both active and inactive chats. only when I'm actually on the app does it show i have a message. please fix! ----- months later and still no fix! I check for updates everyday, come on Shape, get it together please!",1
"Wow wow wow , awesome , great app i've ever had  , easy to use , save money , fantastic , i love it  , am greatfull for this app 😘",0
I like it. Three accounts in place instead of 3 apps.,0
Nice Awesome,0
Everything I've wanted in a twitter app. Easy user interface and great functionality.,1
Great !! You can post multiple accounts at same time and even with Facebook !! I love it,1
PAC man Best evahh,0
"These game was super awesome, but now the only thing it does is crash, crash and crash. Can you pleas fix the crashing thing. Thank you in advance!",1
Simple to use and works great!,0
Works great no complaints...yet.  The unlocked pro version is what I use.,0
"The connection is very slow/non existent On different WiFi signals, this happens EVERY day and it is very annoying. Please fix this major issue.",1
We have Problem save video to Camera rool after update ti İOS 8,1
Love It !!!! Works great every time. So handy when I'm on the road and need to send documents to colleagues.,0
Perfect,0
"Good so far... Fun, have to watch some commercials, but u get stuff for them. Don't know what happens when u run out of credits to play with powerups, also it looks like c-coins aren't credits, could be more clear about that",1
"I had many other apps for the chat, they were all troubling me with ads and were not working well. They were mostly slow. This app works very well most of them time but freezes once in a while. I still don't get easy to use feeling with this app..",1
It's like getting a second brain...,0
Very good App!!!,0
"I was excited for this app but have noticed several shortcomings that will prevent me from using it:1. You have to have a windows live acct to use the app2. You can only create new notebooks online in windows live, not from within the app3. You can not file notes from within the app, you have to do it from windows live4. From windows live, you can not transfer a note from one notebook to a different notebookIn my opinion, skip the windows live and let all the functions be available from within the app... Then it will be a worthwile app, until then, its pretty useless",1
Only improvement would be to get more of my friends on it. I send invites but they are not joining. Can you make the invites somehow more personal.,1
crashes aloott barely can get past the first screen without it crashing,1
"I have been visiting a community where my cell coverage is terrible, and have been having to use land lines to call.  I have just had an hour call with Australia and another one to Seattle.   Crystal clear. Amazing.",1
BEST PAC-MAN EVER,0
Okay game,0
Single player is cool but every time my friend and I try to play online it goes to the start of the race but never starts. Can any help me with this,1
Love it!!!!,0
The syncing is superb.  I can type on my iPhone or laptop & within seconds it's synced.  No more copy & pasting.,0
Very good quality and features,0
I love it I haven't had no problems so I'm 100 percent happy about thatc,0
Better than regular Twitter.,0
Horrible UI Latest update is just like putting lipstick on an ugly pig. Just holofy the whole thing like you did for Friendcaster already!,1
Pretty amazing,0
It's simple and efficient. I only wish there were options for font and background themesand such.,1
I've had IM+ pro for years. Very happy with it. A week or so ago it wouldn't load. Crashed before it would even open. I reset the app. Nothing. So I deleted it from my phone and re downloaded. I was sent IM + pro 7 and charged yet another 4.99. I was going to avoid making a fuss but sometimes it won't open at all. I have iPhone 4.,1
I really like this game BTW its pretty much the best game I EVER TRIED IT IS AWESOME!!!!! I really like this game is made by a BUNCH OF COMPANY'S I mean people only 3 company's maybe more but I really don't know,0
I didnt hate it ... But..i cant put and receive any code ...!! Bother,1
"What a amazing app,you can tex,talk and video all in this app .just awesome",1
"Great game, way better than Crossy road",0
AAAAAAAAAWWWWWWWWWWEEEEEEEEEEESSSSSSSSSOOOOOOOOOMMMMMMMMMMEEEEEEEEE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!period,0
"What I like about the app is the ability to use some of the old functions of Twitter that are no longer available (e.g., the RT feature). Overall I think the app is a great replacement or alternative to the official Twitter app. I use this one more.",1
"I use this app seriously all the time. I have several tabs to keep everything organized and I could not live without it. We are on the go so much and everything is on our phones, organization is essential. Love it.",0
"Fantastic Too young to have played the original, but this is awesome.",0
Good,0
i love this better than the original twitter app,0
Awesome,0
Needs push notifications and see who favorites your tweets.,1
Errors I keep getting a 501 or 504 error.  This is new,1
This game is the coolest thing ever and very addicting,0
This app crashes a lot. Please fix,1
The game is very cool and like the concept of it but only thing is just a few bad ghost glitches like there is the app that shuts down randomly after about 30 mins into it and it shuts down when you don't die for a long time. If the app shutdowns gets fixed it would be a great game.,1
Sometime good and some not,0
Best of them all Best notepad ever,0
This used to be the best app for Twitter. The last couple of upgrades have made usage difficult. Please fix!,1
Best twitter software,0
This twitter app is the best one out there for the iPad. It is easy to use and has a use UI.,1
I really enjoy the organization of this app. And the fact that it backs up online is even better. Unlike the Apple app and they don't charge me for extra storage so far. Haven't had any problems hasn't slowed down. Only thing I would improve is that when you type in the phone number or an email address you can click on it and it would automatically operate with your phone. Pretty cool app overall,1
very good,0
Good game It's kinda like crossy road but it gets boring eslty,0
Very good,0
Makes it all a bit more convenient!,0
"Hi guys. The app is awesome. But the more popular it gets, the more spam i receive. When would you implement report spam button together with blocking the contact? And also when will you allow me to let only existing contacts chat/call me and prevent unknown contacs from sending messages to me? This is getting more and more important each day. Thank you.",1
Best App No better Twitter app around.,0
"Well my twitter app doesn't really work when I press it , won't load , but this app is way smoother and better than the accual twitter app :) 5 $+@r$",1
My viber no longer rings. Is there a way to fix this I keep missing my calls :(,1
do u guys get calls back,0
"Great overall, some niggles In terms of features, this is one of the best Twitter apps I have used. It handles multimedia better than most apps. Only downsides in my experience are the slightly clunky interface and the inability of it to read the EXIF data to orient images the right way.",1
My daughter is vacationing in Denmark and Viber has worked great for communicating with her. The voice quality really is better than a regular phone call and there is no lag. Awesome app. I bought some ViberOut credits just to help support the company.,1
Love this game MUST DOWNLOAD! But needs more characters but it's still great,1
"What I do like: has more features than any other Twitter app I've found. Easy to use. What I don't like: Crashes constantly! Sometimes the navigation bar at the top disappears and I'm stranded, having to restart my phone to reboot the app. The view conversation needs to be simplified. I don't get why it repeats... ???",1
I can't live without!!! I can talk to family members all over the world for free! What can be better?!!!,0
"I love having access to my notes from all my devices!  Everything in one place, I am obsessed!!",0
Pretty cool.,0
This app is super convenient and works great for scanning paperwork and the like. Fast and easy!,1
Very good,0
BEST APP EVER!,0
Great sync between Microsoft and Apple products,1
Slow on old phone The app is great but its very slow. I'm on an HTC EVO 4G and it takes forever to load.,1
"I love onenote - stable, high quality, fantastic UI, just works terrifically well.",1
Great app. I am able to talk and chat with people world wide on my Ipad,0
The application is used almost every day and I am really pleased with it. Great app!!!,0
"I recently purchased shadow with my 750,000 miles however, now he is not available after a crash. And my miles aren't there either. But when I go to my license it shows that I've accumulated 850,000 miles. I saved up for shadow and used him to get that 100,000 extra before the crash. I'm confused why I don't have him any more. Fix",1
Good app I'm unable to connect to my skype account after updating from my previous version. Can you help me to fix it.,1
Bugs in new version,1
Lack of Persian (Arabic) language support I use this app on windows and its support's Persian but when I install this app on my Android phone my notes in Persian language isn't show correctly and characters are desperate from each other,1
Perfection This bring back some good old memories,0
I love it because it's good to talk to other friends I appreciate for that thank you,0
I used the free version once and instantly decided to pay for the full version. Money well spent!,0
Better just to take a picture.10 times better,1
Keep it coming. I would like the feature of creating sub tab categories within the tabs on the iPhone.,1
This would be a great Wii game and the into is great. Maybe some more characters like sonic heroes  for ps2(any one remember?on the Dreamcast? Game cube? so ya maybe character groups and race like that.,1
The best Fast and smooth,0
Great application! I use it all the time!,0
I downloaded because I have the PC version. I don't care for the fact that you have a Windows Live ID. I went to the trouble of creating one only to find there's not much you can do with the app. In my opinion the native app is better as you have some font choices and I can delete a note. I haven't figured out how to do so. I have another note application & it's much better. It was free so at least I didn't waste any money.,1
This game is so hard to play!!! Every time I turn it on everything goes fine 😃😃 until the race is loading😢. The game closes and I end up at my home screen.  😡😡 Please fix this!! 😡,1
I'm a teacher & I find myself frequently having to scan documents. This app has been so productive & handy for my usage. I've scanned my own made study guides & posted them to my student web page virtually working toward a paperless environment. This app is the best & the option to save the document to Dropbox is ideal! Love it!!!,1
Badiya hai,0
"Does what I need it to, in a slick manner",0
It's cool It's fun,0
I like this game The game was amazing like,0
"after I input my name and choose the nationality, the game crash on my devices all the time, hope you can fix it asap.",1
"Initially playing this game, I was skeptical, as many game reboots fail to deliver a quality that represents the original game.  This game is an exception.  Not only do the clean graphics and fun gameplay represent Pac Man well, but this game is quite possibly more fun than the original.  A big thumbs up to Namco and Hipster Whale for this amazing game!",1
"I've saved a lot of money using this app to talk to friends overseas. As long as your connection and bandwidth is good, voice is clear too.",0
"Drawing bugs Trying to create a hand-drawn diagram in OneNote on an Android tablet.  Small parts of my drawing disappear every time the app syncs, very annoying and frustrating.",1
"This app is amazing! Works incredibly well in Australia , China and the US! I travel extensively and text come through perfectly . The calls are crystal clear and loud ! Super App!",0
This app has really saved me a lot of money from making calls. I recommend you download and install ASAP.,1
Issue Can't sign in,1
"Deleted it and installed regular, reliable twitter.",0
It's GREAT but the adds are annoying,1
Does a great job.  Simple and easy to use interface.,1
Not good You have to spend more money after buying the app.,0
Awesome Awesome,0
Ugh It wont even let me post anything!  This thing sucks.,0
Good Amazing game dudes,0
"This is a perfect utility to help me keep in touch with my friends overseas, and it's as cheap as free. Incoming cell calls will interfere, but the quality of the calls are quite good with a strong wifi signal.",1
PLEASE ADD PUSH NOTIFICATIONS AND AUTO COMPLETE FOR @ FOR ALL MY FOLLOWERS!!,1
Awesome,0
"This new version needs to be fixed because there are some bogs in there. When i want to see the photos that i sent to my friends, it jumps out of apps. Some times i cannot open the appPlease fix itThanks",1
There is no way I could afford keeping in touch with my loved ones. Viber makes that possible.,1
Easy to use. No more spiral note books for me.,0
I've tried Evernote which is certainly a great product but the features of OneNote are just a bit easier to use. Keep up the great development!!,1
Wish it showed quoted tweets I wish it actually showed quoted tweets instead of just the link.,1
This app comes in handy for all sorts of things.,0
Like it alot,0
IM+ Awesome app!  I would recommend it to anyone,0
Easy to use and does what I need.,0
"FIX IT PLEASE Theoretically great app, but continuously signing me in and changing my statuses. Poor communication from developers, don't buy paid version until they fix the bugs!!!",1
It's the best twitter app ive had,0
"Its the best. Makes my communication to my loved ones easier, may it be thru voice mail , text message, and photos as well. Its very reliable indeed. I had been spreading it to my friends.",1
Best thing that ever happened to our family - we can chat and keep up-to-date with all our activities and events!  Thank you! Love ... Love this app!!!!,0
I use this app all the time internationally. It works perfectly! I love it.,0
For $4 I want more It works well for a couple of weeks then I have to uninstall b.c it force closes without opening. Retweets should be displayed in the @ mention column. Color coding the tweets per user would be nice as well. And a real in app browser that shows more than the mobile page:) paid $4 for this app... I deserve it.,1
"It's not a bad app to use if your out of minutes or texts, it's really easy to use and helps you to be connected with your acquaintance and contacts for free! Overall it needs some enhancements such as video calling, Picture sharing... and more accuracy and acceleration on its function. I would give it a 4 star rate! 1 left to get my requests! :P",1
"Call free price and free time, no limited...!",0
great great app,0
"Very clean , simple and colorful",0
It's awesomeeeee!!!,0
Viber apps Submit apps,0
"Great Client! I've been a user of IM+ since I had a  Treo 650 with PalmOS. I've used it on many platforms and loved it over the years, as both a paid (multiple times) and free user. But lately, it seems like the Android version isn't keeping pace with the iOS version. Skype support works there, but not here. Fix this with an update (even a paid one!), Shape, and I'll gladly up this review to 5 stars.",1
"Have come back Used you, was seduced elsewhere.  And now, sheepishly, am back.  Missed you!",0
Getting worse? I like it when there was Friendcaster to go with it. My current version becoming more unresponsive?,1
I used to be able to play individual maps just not the grand prix but now I can't race at all.,1
Works beyond  belief!! TweetCaster Pro has everything you need most of the other apps  do not have a delete button if you want to delete a tweet  and don't have the proper Rte retweet too...  this is so smooth and you can custom design it... I love it! The only way to use Twitter!!,1
"First time I tried to start onenote, 15 seconds passed, and it still didn't finish loading. At this time I knew this app would only aggravate me every time I used it.  I'll spare myself.",1
Soooooo good you should get it,0
Your mom says it was Amazing grace,0
So much better than the first few versions and many of the desktop features are available now.,1
Fun game but ever since update it crashes alot,1
Fletes,0
How I can back all my massages?,0
I use this app at least once a week for work very belpful,1
"my account is not activate.i recived number, but result is wlong number.",1
"Great app, more colors please!",0
I don't like apps that require me to enable ALL notifications. I don't like badges. Apple gives us options for a reason.,1
Great app Very convenient and user friendly,0
Will uninstal it.... Nw a dys its really a worst app... No service etc.... Wat d damn thing u've internet connection n telling no internet connection... What d damnd....,1
I think Tweetcaster has the best features of all Twitter apps. Fully featured!,0
"Love it!!! Just few drops with every calls:( but I can handle , it's FREE",0
I love this game but this keeps crashing my iPod. Please fix this! I have the 4th generation iPod. Thanks!,1
amazing,0
Love this app as you can cast your tweets to both social networks! Only downfall is that you can't add additional FB accounts.,1
"Good game - stupid in-app credit system I like that the ads are optional for rewards rather unavoidable, but they ought to reward you with credits since that's ultimately what you need to enjoy all the features of the game. What are these stupid non-credit 'c's even for?",1
Best Twitter app I've found. Only issue I'm having is that it won't let me connect to FB. Very annoying since I paid for the PRO version.,1
Incredible app,0
"I love this program, but I absolutely hate the fact that I can't delete my unused notebooks very easily. Having to log in to my cloud every time I decide to clean out my notebooks is extremely inconvenient.",1
Disconnects Always Barely works! I always lose my connection. I'm not the only one either if you read reviews.,1
Free calling stopped working. Eating up space with inadequate performance uninstalling it.,1
"I have several friends from outside the USA and now that smart phones are pretty prevalent, it's easy to access this app!  It's so good to actually hear their voices instead of just reading text. The only complaint I would have is that you need to have really good Internet service on both ends when talking on the phone. Otherwise it's an excellent form of texting using just 3G or 4G! If I didn't have this app then texting would be $0.50 PER TEXT!!Five stars. Recommended app!",1
Thank you so much. The sound quality is unbelievable. Plus being free is just icing in the cake.,1
Pacman This is a good game,0
Where's the bgm (background music),0
Need token? I bought this app 2 years ago. Loved it. But now I go to sign in yesterday and I can't! You say I dont have a token? Realllly?!  Wth?,0
"I do almost daily calls to Germany and Viber works flawlessly 99% of the time. On rare occasions the connection will fail but that is the same with a normal cell call. Call quality is crystal clear, as well. Just get it!!",0
Living on a military deployment and this a great medium to keep in touch back home. More robust text app than Apple's app.  Thank you Viber.,1
I travel for a living and Viber works better than my FaceTime! Even when it says poor quality I still seem to have a great connection.,1
I use this program every day for both business and personal stuff. I love that it automatically syncs to all of my devices.,1
"I can scan, email to gmail and print. Love this app!",1
This app. Is thes way to comunicate!!Wao!! Thank.,0
Viber seems to always end your calls after five or six mins onto your conversation.  It gets so frustrating and irritating when u have to constantly keep calling back to the other party.. Please fix this!! Does anyone have this problem?,1
Good game I guess its a good game and is also VERY addicting i have only had it for 2 days amd have been on it non stop,0
Love this app thanks,0
I love this game to my hearts content ❤️ I live this game everyday I soon figured out its like Crossy Road but much better! And what the concept of the game is and what it means: U r on lvl 256 and the glitch u r running away from is the glitch of lvl 256 in the original Pac-Man! Cool huh?! Well I love this game so yeah! 5 Stars no doubt,1
Way better than the native iphone app.,0
Great app Worth the purchase,0
Addicting Great time killer,0
Their latest update is dumb as all hell. People don't want the back button to disappear when opening a picture. I'm going to kill myself if they don't change this. Emotionally.,0
Pretty awesome Does everything I need it to do.,0
"Love, love, love it!",0
Nice game,0
Seamless,0
Pretty good. Works well enough. Freezes up every once in a while.,1
Great software everBut if possible please add undo optionSome time when I select of my written text just vanish it may be my fault but if there undo option then it would be great!!!,1
"Doesnt work! I am so frustrated, when i open it it just crashes, and now I am just hoping that i could play your fun pac man game. Until it doesnt crash, 1 star.",1
"Love it. Between my PC and my phone I'm in sync, That's good for me. If you use notes..... This is the app. It's part of office now and is integrated perfectly. I live by OneNote. One place for all thoughts, ideas, personal or professional",0
Good,0
Remove the ads Not happy!,1
API consistently gives errors Used to be great,1
Please update to the look and feel of iOS 7,1
Fix Facebook login Still can't connect. Uninstall ed and installed it again still the same.,1
"Great for traveling. Wifi is all that you need.  Saves a bundle , dice you can talk or text.",0
great app to use!,0
Awesome,0
Bad UI,0
5 stars if the app allows for video chat for mobile users and not just only for the pc.,1
"I use OneNote on my laptop and love it. The app works pretty well but has bugs when trying to sync with more than one user. Also, why hasn't an iPad version been done?  That's where OneNote could really shine.",1
"Another stupid idea of Microsoft Well,  the program looks promising, as most of Microsoft programs, however, you can not use it without signing in so they would track you. Go to hell,  I  am uninstalling.  I do not need your services.",1
Many great options Just about perfect ;),0
It'll do I'm easy,0
This tool is like having a giant flatbed scanner in your pocket.  Turns PostIt flip charts into PDFs quickly and flawlessly.  Emails and drops into various cloud storage programs without a hitch.  Could not live without it in our biz.,1
I would say it is the best app.I love it,0
Love this app it's just missing push notification and some type of sound!!!,1
Can't access files saved on anything except OneDrive I can't access my files saved on Google docs.  This application only allows me to see files saved to my onedrive.  Well...Onedrive doesn't like the onenote file extension.  this proprietary stuff is for the birds and Apple products.  Please address this.,1
The gesture to swipe right to view the menu is interfering with the scrolling gesture making navigation a pain. Otherwise great ap.,1
Profile photo problem Can't see profiles properly and I also can't see photos in profiles.. but works pretty well..,1
Great app the ads don't bother me no reason to pay $5 for the pro version,1
While a nice note program OneNote is still incomplete and in need of features like new note creation. Until then this program is simply a note viewer.,1
Ok,0
Very nice app,0
"Excellent app , the new version is perfec.",0
Work vey good for me,0
Do you know what's weird i got this game the first day it came out but about a month before it came out I was thinking they should make one! Know to see if it works I'm hoping for a Mario cart:-)))))) also just add that Purple guy from sonic and that zombie dude and some more tracks,1
Want video chan with Viber . I love Viber,0
"I use One Note daily for my mathematical notes, proofs, and formulas.  Although I do love the ideal of this mobile version, unfortunately anything edited with the equation editor does not show up on the iphone.  Hopefully this is something that can be fixed with the next release, I can think of thousands of ways to use this!",1
This is good app. I used it a lot...,0
"Please fix it, I want to play this game... But I can't even get past the title screen!",1
"Excellent app Scan and email on the go. Brilliant. Time saver, life saver.",0
Excellent for free call & text,0
Great app. The best twitter app out there. BUT WHY AM I SEEING ADS ON A PRI VERSION. this is ridiculous. Come on guys pull the ads on the pro version.,1
Can find faults and complain. But u know what! It's FREE ! And costs me nothing to stay in contact daily with a friend in another country. I appriciate this app,1
A nice twist !,0
Viber is good app. Please update for ios 7 UI .,0
Top dog The easiest for Twitter.,0
The game is awesome.  The one thing I don't like is that sometimes it crashes while you are playing.,0
Rogers Very useful,0
"Best twitter app out there Best twitter app out there. Whatever you want of features, it has it.",0
This app has been broken for months now. The support page goes no where. Helllloooo!!! The pics  do not show up.,1
Love it!,0
It's official like a ref wit a whistle.,0
Just please update to iOS7.,1
"Between web and iOS versions, I'm never without my notes.",1
Amazing Endless runner PAC man doesn't sound that good and oh boy are you wrong. This game is amazing,0
Not updating Getting an error message 505 when installing  this update.,1
Last update is awful. This app runs so slowly that it is essentially worthless. Used to love how well it organized tweets on the screen. Now will just go back o original client and stop wasting my time.,1
I have an iPod touch 4th generation and I can't even get to play the game because it crashes every time,1
"Call Quality is above par, very clear.",1
Useful,0
Hi folks just make sure both parties have internet connection either wifi or 3G. Works flawlessly. Super duper fast and very awesome to use. Only thing I would want more from this app is the ability to set custom text tones. Right now nothing in the settings that you can use to assign different/custom text tones.,1
"Best application ever for long distances, since I have it I call my family through this application and works perfectly",1
Thank you ❤😁😋😘,0
"I wish you would get notifications when someone tweets you, RT, or DM you. Sometimes the app closes when I try to post a message.",1
Vine videos don't work anymore for whatever reason,1
"Real nice and convenient. Skype and whatsapp, look out!",0
"Well done Microsoft!! OneNote is a fantastic program, perfect for day to day stuff and college notes. In fact, everything where a word processor isn't quite the write [sic] tool. I've been waiting for an iPhone app to use OneNote remotely, and this exceeds my expectations!!If you are a OneNote user, I really can't see how you could be disappointed with this perfect companion. Great looking and does the job perfectly!(I had a problem signing in at first, but resubmitted a few times and it worked - now I have no trouble logging in)",1
"A 5 star App, very easy to use, lightweight, faster and more reliable than Twitter. :)",1
Over all it's good I like it.,0
Very poor quality connection .. Terrible ..,0
Bought this app took away interactions I will using Ubersocial from now on.,1
"Except for the network quality always fluctuating(only on this device), it does what it's meant to do.",1
We use this to keep in touch with family.  It's great!,0
Works great,0
"It works well on iPhone 6I have lost some added material once, but overall I love it.",1
"Newest release much better Now that the ability to add sections has been added, the app is much better and mimics the desktop platform. Well done.  --previous review-- The best note taking app I have come across. Great app and syncs all notes well with the desktop app on my PC. It is still a bit limited in that new notebooks nor sections can be added within the app (hence only 3 of 5 stars), you need to create these on the PC. On e they are created the ability to access and edit them in the app is simple and efficient.",1
Great app,0
So far impressed. Talking to our son in Japan as he travels.,0
"Since upgrading to an iPhone tweeting with Tweetcaster is great! I can do so much more, xoxo.",1
"Great app if you use MS office, it syncs well with their one note utility. Only wish  you could specify which folder a new note goes into.",1
The latest update has its good and bad but mostly bad. I can't scroll when texting so I can't return to the beginning of my message before I send. I've noticed that the message doesn't send when you swipe upwards now which is a plus. The main issue is the notifications. There's no sound when someone calls you. This causes many missed calls.,1
"Love OneNote! The features and functionality allows me to outline, layout information and notes, as well as tasks succinctly. A great must have tool in the app world.",1
I tryed to ride and I close and I can't get me to try to drive it,1
Great take.. ...on a classic game,0
This is my preferred app for communicating with people all over the world.,0
Call quality is too poor,1
Love it Ylerps,0
Fantastic,0
Great app! Has replaced Catch as my primary note taking tool back in 2013 and has been instrumental to assisting my workflow ever since than.,0
Bestttt,0
Nybadboy It's easy and clean,0
The game doesn't allow you to make the moves in the direction you intend.,1
This is a very fun and addicting game almost as good as the original but who wants an exact copy? We already have a version of the near original pac man to download and they have some at arcades still so it's good to find an addicting different version that almost as good as the most original and it seems like it's based a bit on pixels.,1
I can't update it in my phone it takes way too much memory.,1
Great technology innovation.,0
Always works the way it should I recommend to everyone!,0
Love the concept of upgradeable Pac-Man,1
